SmartPlace candidate ranking v2 100-case worker
cases=100
candidate_rows=1300
positive_cases=50
negative_cases=50
scorer_mode=simopa-worker
elapsed_seconds=42.1
positive_pass=44
negative_pass=50
case opa_test_001 label=1 dataset_score=0.9985 dataset_rank=1 top1=opa_position:0.9985 assessment=pass_positive_high_rank
case opa_test_020 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_021 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_022 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_023 label=1 dataset_score=0.9967 dataset_rank=8 top1=prior_pool:1.0 assessment=review_positive_high_score_low_rank
case opa_test_024 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_025 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_026 label=1 dataset_score=0.9999 dataset_rank=6 top1=prior_pool:1.0 assessment=review_positive_high_score_low_rank
case opa_test_027 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_028 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_029 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_030 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_031 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_032 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_033 label=1 dataset_score=0.9999 dataset_rank=7 top1=prior_pool:1.0 assessment=review_positive_high_score_low_rank
case opa_test_034 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_035 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_036 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_037 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_038 label=1 dataset_score=0.9998 dataset_rank=2 top1=prior_pool:0.9999 assessment=pass_positive_high_rank
case opa_test_039 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_040 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_041 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_042 label=1 dataset_score=0.9999 dataset_rank=2 top1=prior_pool:1.0 assessment=pass_positive_high_rank
case opa_test_043 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_044 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_045 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_046 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_047 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_048 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_049 label=1 dataset_score=0.9999 dataset_rank=13 top1=prior_pool:1.0 assessment=review_positive_high_score_low_rank
case opa_test_050 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_051 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_052 label=0 dataset_score=0.0 dataset_rank=2 top1=prior_pool:0.9756 assessment=pass_negative_rejected
case opa_test_053 label=0 dataset_score=0.0 dataset_rank=11 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_054 label=0 dataset_score=0.0 dataset_rank=4 top1=prior_pool:0.8239 assessment=pass_negative_rejected
case opa_test_055 label=0 dataset_score=0.0 dataset_rank=9 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_056 label=0 dataset_score=0.0 dataset_rank=8 top1=prior_pool:0.9999 assessment=pass_negative_rejected
case opa_test_057 label=0 dataset_score=0.0 dataset_rank=8 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_058 label=0 dataset_score=0.0 dataset_rank=2 top1=prior_pool:0.0003 assessment=pass_negative_rejected
case opa_test_059 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_060 label=0 dataset_score=0.0 dataset_rank=10 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_061 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_062 label=0 dataset_score=0.0 dataset_rank=5 top1=prior_pool:0.955 assessment=pass_negative_rejected
case opa_test_063 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_064 label=0 dataset_score=0.0 dataset_rank=9 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_065 label=0 dataset_score=0.0 dataset_rank=8 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_066 label=0 dataset_score=0.0 dataset_rank=2 top1=prior_pool:0.9756 assessment=pass_negative_rejected
case opa_test_067 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_068 label=0 dataset_score=0.0 dataset_rank=4 top1=prior_pool:0.3897 assessment=pass_negative_rejected
case opa_test_069 label=0 dataset_score=0.0 dataset_rank=4 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_070 label=0 dataset_score=0.0 dataset_rank=12 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_071 label=0 dataset_score=0.0 dataset_rank=6 top1=prior_pool:0.96 assessment=pass_negative_rejected
case opa_test_072 label=0 dataset_score=0.0 dataset_rank=7 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_073 label=0 dataset_score=0.0 dataset_rank=8 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_074 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_075 label=0 dataset_score=0.0002 dataset_rank=2 top1=prior_pool:0.0005 assessment=pass_negative_rejected
case opa_test_076 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_077 label=0 dataset_score=0.0 dataset_rank=2 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_078 label=0 dataset_score=0.0 dataset_rank=13 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_079 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_080 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_081 label=0 dataset_score=0.0 dataset_rank=3 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_082 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_083 label=0 dataset_score=0.0 dataset_rank=2 top1=prior_pool:0.0028 assessment=pass_negative_rejected
case opa_test_084 label=0 dataset_score=0.0 dataset_rank=3 top1=prior_pool:0.9998 assessment=pass_negative_rejected
case opa_test_085 label=0 dataset_score=0.0 dataset_rank=2 top1=prior_pool:0.9984 assessment=pass_negative_rejected
case opa_test_086 label=0 dataset_score=0.0 dataset_rank=3 top1=prior_pool:0.0009 assessment=pass_negative_rejected
case opa_test_087 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_088 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_089 label=0 dataset_score=0.0 dataset_rank=9 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_090 label=0 dataset_score=0.0 dataset_rank=2 top1=prior_pool:0.9876 assessment=pass_negative_rejected
case opa_test_091 label=0 dataset_score=0.0 dataset_rank=8 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_092 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_093 label=0 dataset_score=0.0 dataset_rank=3 top1=prior_pool:0.5027 assessment=pass_negative_rejected
case opa_test_094 label=0 dataset_score=0.0 dataset_rank=2 top1=prior_pool:0.9999 assessment=pass_negative_rejected
case opa_test_095 label=0 dataset_score=0.0 dataset_rank=10 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_096 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
case opa_test_097 label=0 dataset_score=0.0 dataset_rank=13 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_098 label=0 dataset_score=0.0 dataset_rank=4 top1=prior_pool:0.9255 assessment=pass_negative_rejected
case opa_test_099 label=0 dataset_score=0.0 dataset_rank=2 top1=prior_pool:1.0 assessment=pass_negative_rejected
case opa_test_100 label=0 dataset_score=0.0 dataset_rank=1 top1=opa_position:0.0 assessment=pass_negative_rejected
