case_id,dataset_label,fg_id,bg_id,foreground_category,background_category,image_width,image_height,dataset_position_score,dataset_position_rank,top1_source,top1_score,top3_scores,assessment,model_version
opa_test_059,0,341604,73009,toothbrush,toothbrush,375,500,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_060,0,1576567,414401,cake,cake,640,640,0.0,10,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_061,0,342658,73009,toothbrush,toothbrush,375,500,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_062,0,575902,171805,bench,bench,640,480,0.0,5,prior_pool,0.955,0.9550;0.1724;0.0315,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_063,0,670608,460568,cup,cup,612,612,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_064,0,596954,203868,giraffe,giraffe,427,640,0.0,9,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_065,0,159573,580029,airplane,airplane,640,427,0.0,8,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_066,0,55695,503008,horse,horse,640,448,0.0,2,prior_pool,0.9756,0.9756;0.0000;0.0000,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_067,0,163007,57284,bus,bus,640,480,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_068,0,1765106,180967,bicycle,bicycle,500,333,0.0,4,prior_pool,0.3897,0.3897;0.0006;0.0001,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_069,0,1100242,62376,laptop,laptop,480,360,0.0,4,prior_pool,1.0,1.0000;1.0000;0.9851,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_070,0,1576567,414401,cake,cake,640,640,0.0,12,prior_pool,1.0,1.0000;1.0000;0.9999,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_071,0,1976110,218668,cell phone,cell phone,612,612,0.0,6,prior_pool,0.96,0.9600;0.9244;0.8744,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_072,0,416834,317687,fire hydrant,fire hydrant,640,480,0.0,7,prior_pool,1.0,1.0000;1.0000;0.9999,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_073,0,702138,78478,spoon,spoon,640,480,0.0,8,prior_pool,1.0,1.0000;0.9937;0.9922,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_074,0,355769,107745,car,car,640,480,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-rgb-mask-v1
opa_test_075,0,18901,29727,potted plant,potted plant,408,640,0.0002,2,prior_pool,0.0005,0.0005;0.0002;0.0002,pass_negative_rejected,simopa-rgb-mask-v1
