case_id,dataset_label,fg_id,bg_id,foreground_category,background_category,image_width,image_height,dataset_position_score,dataset_position_rank,top1_source,top1_score,top3_scores,assessment,model_version
opa_test_014,1,1078397,379285,donut,fork,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_015,1,593796,213399,zebra,zebra,640,427,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_016,1,2198049,317687,fire hydrant,fire hydrant,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_017,1,1055814,298623,broccoli,broccoli,640,426,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_018,1,1926922,414401,cake,cake,640,640,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_019,1,1078801,60467,donut,donut,504,351,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_020,1,56104,417334,horse,horse,640,427,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_021,1,586326,80105,bear,bear,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_022,1,1079904,379285,donut,fork,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_023,1,586987,357510,bear,bear,640,640,0.9967,8,prior_pool,1.0,1.0000;1.0000;0.9999,review_positive_high_score_low_rank,simopa-worker-rgb-mask-v1
opa_test_024,1,586934,357510,bear,bear,640,640,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_025,1,589018,213399,zebra,zebra,640,427,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_026,1,273763,417334,horse,horse,640,427,0.9999,6,prior_pool,1.0,1.0000;1.0000;1.0000,review_positive_high_score_low_rank,simopa-worker-rgb-mask-v1
opa_test_027,1,394691,444037,truck,truck,612,612,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_028,1,1581067,463989,chair,chair,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_029,1,311795,216072,sandwich,sandwich,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_030,1,64754,186413,sheep,sheep,640,427,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_031,1,581053,257214,elephant,elephant,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_032,1,148656,306866,motorcycle,motorcycle,500,375,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_033,1,590055,213399,zebra,zebra,640,427,0.9999,7,prior_pool,1.0,1.0000;1.0000;1.0000,review_positive_high_score_low_rank,simopa-worker-rgb-mask-v1
opa_test_034,1,416009,317687,fire hydrant,fire hydrant,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_035,1,589940,348935,zebra,zebra,529,640,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_036,1,1079385,379285,donut,fork,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_037,1,1555056,78478,sandwich,spoon,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_038,1,2144196,490311,book,book,500,377,0.9998,2,prior_pool,0.9999,0.9999;0.9998;0.9992,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_039,1,586631,80105,bear,bear,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_040,1,61157,186413,sheep,sheep,640,427,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_041,1,586934,80105,bear,bear,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_042,1,365276,306866,motorcycle,motorcycle,500,375,0.9999,2,prior_pool,1.0,1.0000;0.9999;0.9999,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_043,1,696732,318346,knife,knife,640,478,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_044,1,1071485,248341,pizza,pizza,640,480,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_045,1,3538,140349,dog,dog,428,640,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_046,1,6688,140349,dog,dog,428,640,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_047,1,1055814,298623,broccoli,broccoli,640,426,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_048,1,1576567,414401,cake,cake,640,640,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_049,1,1914814,298623,broccoli,broccoli,640,426,0.9999,13,prior_pool,1.0,1.0000;1.0000;1.0000,review_positive_high_score_low_rank,simopa-worker-rgb-mask-v1
opa_test_050,1,591271,213399,zebra,zebra,640,427,1.0,1,opa_position,1.0,1.0000;1.0000;1.0000,pass_positive_high_rank,simopa-worker-rgb-mask-v1
opa_test_051,0,3332,333599,dog,dog,427,640,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_052,0,55695,503008,horse,horse,640,448,0.0,2,prior_pool,0.9756,0.9756;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_053,0,61157,186413,sheep,sheep,640,427,0.0,11,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_054,0,164841,57284,bus,bus,640,480,0.0,4,prior_pool,0.8239,0.8239;0.0019;0.0013,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_055,0,575108,124979,bench,bench,640,422,0.0,9,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_056,0,126084,180967,bicycle,bicycle,500,333,0.0,8,prior_pool,0.9999,0.9999;0.9967;0.9794,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_057,0,1084923,414401,cake,cake,640,640,0.0,8,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_058,0,341620,64389,toothbrush,vase,480,360,0.0,2,prior_pool,0.0003,0.0003;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_059,0,341604,73009,toothbrush,toothbrush,375,500,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_060,0,1576567,414401,cake,cake,640,640,0.0,10,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_061,0,342658,73009,toothbrush,toothbrush,375,500,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_062,0,575902,171805,bench,bench,640,480,0.0,5,prior_pool,0.955,0.9550;0.1724;0.0315,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_063,0,670608,460568,cup,cup,612,612,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_064,0,596954,203868,giraffe,giraffe,427,640,0.0,9,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_065,0,159573,580029,airplane,airplane,640,427,0.0,8,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_066,0,55695,503008,horse,horse,640,448,0.0,2,prior_pool,0.9756,0.9756;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_067,0,163007,57284,bus,bus,640,480,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_068,0,1765106,180967,bicycle,bicycle,500,333,0.0,4,prior_pool,0.3897,0.3897;0.0006;0.0001,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_069,0,1100242,62376,laptop,laptop,480,360,0.0,4,prior_pool,1.0,1.0000;1.0000;0.9851,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_070,0,1576567,414401,cake,cake,640,640,0.0,12,prior_pool,1.0,1.0000;1.0000;0.9999,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_071,0,1976110,218668,cell phone,cell phone,612,612,0.0,6,prior_pool,0.96,0.9600;0.9244;0.8744,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_072,0,416834,317687,fire hydrant,fire hydrant,640,480,0.0,7,prior_pool,1.0,1.0000;1.0000;0.9999,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_073,0,702138,78478,spoon,spoon,640,480,0.0,8,prior_pool,1.0,1.0000;0.9937;0.9922,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_074,0,355769,107745,car,car,640,480,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_075,0,18901,29727,potted plant,potted plant,408,640,0.0002,2,prior_pool,0.0005,0.0005;0.0002;0.0002,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_076,0,12496,333599,dog,dog,427,640,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_077,0,1182983,65011,suitcase,suitcase,439,640,0.0,2,prior_pool,1.0,1.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_078,0,55695,238584,horse,horse,640,427,0.0,13,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_079,0,1444555,558826,suitcase,suitcase,473,640,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_080,0,1144594,69266,book,remote,640,477,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_081,0,1100168,62376,laptop,laptop,480,360,0.0,3,prior_pool,1.0,1.0000;0.0001;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_082,0,1998509,73009,toothbrush,toothbrush,375,500,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_083,0,341604,64389,toothbrush,vase,480,360,0.0,2,prior_pool,0.0028,0.0028;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_084,0,1183540,65011,suitcase,suitcase,439,640,0.0,3,prior_pool,0.9998,0.9998;0.0003;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_085,0,325364,142587,cell phone,remote,500,362,0.0,2,prior_pool,0.9984,0.9984;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_086,0,1935571,512223,chair,chair,640,426,0.0,3,prior_pool,0.0009,0.0009;0.0002;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_087,0,152891,306866,motorcycle,motorcycle,500,375,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_088,0,1157554,145520,scissors,scissors,500,375,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_089,0,582121,257958,elephant,elephant,640,480,0.0,9,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_090,0,1182969,65011,suitcase,suitcase,439,640,0.0,2,prior_pool,0.9876,0.9876;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_091,0,1555056,78478,sandwich,spoon,640,480,0.0,8,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_092,0,362276,107745,car,car,640,480,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_093,0,1662754,90888,book,book,640,428,0.0,3,prior_pool,0.5027,0.5027;0.1358;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_094,0,1184703,65011,suitcase,suitcase,439,640,0.0,2,prior_pool,0.9999,0.9999;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_095,0,365276,141200,motorcycle,motorcycle,640,471,0.0,10,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_096,0,341620,73009,toothbrush,toothbrush,375,500,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_097,0,2218606,78478,sandwich,spoon,640,480,0.0,13,prior_pool,1.0,1.0000;1.0000;1.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_098,0,167615,57284,bus,bus,640,480,0.0,4,prior_pool,0.9255,0.9255;0.0001;0.0001,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_099,0,1186734,65011,suitcase,suitcase,439,640,0.0,2,prior_pool,1.0,1.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
opa_test_100,0,1115550,193855,keyboard,keyboard,500,333,0.0,1,opa_position,0.0,0.0000;0.0000;0.0000,pass_negative_rejected,simopa-worker-rgb-mask-v1
